indices,season,team,name,age,height,weight,pcs points,uci points,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points
58,2010,3,1371,43.0,1.77,61.0,16.0,0.0,16.0,0.0,37,False,False,False,2070.0,0.0
59,2010,3,1253,37.0,1.83,69.0,336.0,22.0,311.0,22.0,34,True,False,False,376.0,0.0
60,2010,3,693,36.0,1.73,63.0,427.0,40.0,292.0,39.0,52,False,True,True,265.0,0.0
61,2010,3,657,39.0,1.86,73.0,1718.0,440.0,929.0,329.0,47,True,True,False,1039.0,109.0
62,2010,3,840,52.0,1.86,71.0,397.0,4.0,112.0,0.0,29,True,False,False,303.0,0.0
63,2010,3,1538,38.0,1.77,70.0,900.0,70.0,471.0,30.0,47,True,False,False,688.0,60.0
64,2010,3,89,42.0,1.82,69.0,212.0,10.0,73.0,0.0,45,True,False,True,223.0,0.0
65,2010,3,27,44.0,1.81,71.0,249.0,0.0,101.0,0.0,43,True,False,False,113.0,28.0
66,2010,3,23,43.0,1.74,63.0,507.0,132.0,410.0,132.0,46,False,True,True,455.0,0.0
67,2010,3,1051,43.0,1.91,77.0,435.0,6.0,19.0,0.0,25,True,True,False,424.0,50.0
68,2010,3,833,47.0,1.83,68.0,394.0,74.0,114.0,4.0,50,False,False,True,274.0,87.0
69,2010,3,1298,49.0,1.82,70.0,133.0,2.0,11.0,0.0,40,False,True,True,288.0,0.0
70,2010,3,934,42.0,1.79,68.0,216.0,16.0,30.0,0.0,36,False,True,False,191.0,12.0
71,2010,3,1599,37.0,1.8,73.0,65.0,0.0,35.0,0.0,40,False,False,True,94.0,0.0
72,2010,3,1366,42.0,1.75,62.0,3.0,0.0,0.0,0.0,34,False,False,False,446.0,30.0
73,2010,3,983,39.0,1.89,82.0,234.0,22.0,89.0,6.0,34,True,True,False,62.0,5.0
74,2010,3,1311,51.0,1.86,76.0,42.0,4.0,19.0,4.0,42,False,True,False,30.0,0.0
75,2010,3,203,35.0,1.71,61.0,20.0,0.0,0.0,0.0,31,False,False,False,15.0,0.0
76,2010,3,512,37.0,1.82,65.0,31.0,0.0,21.0,0.0,40,False,False,True,37.0,0.0
77,2010,3,254,40.0,1.9,70.0,41.0,0.0,35.0,0.0,20,False,False,False,284.0,14.0
78,2010,3,1313,44.0,1.86,72.0,81.0,0.0,22.0,0.0,38,False,True,False,138.0,0.0
79,2010,3,1070,41.0,1.8,69.0,65.0,0.0,45.0,0.0,43,False,False,True,109.0,0.0
80,2010,3,82,45.0,1.89,76.0,24.0,0.0,6.0,0.0,37,False,False,False,79.0,3.0
81,2010,3,1697,46.0,1.84,73.0,50.0,0.0,35.0,0.0,47,False,False,True,51.0,0.0
82,2010,3,1021,40.0,1.85,75.0,67.0,21.0,56.0,21.0,35,False,False,False,82.0,10.0
83,2010,3,1595,39.0,1.76,64.0,101.0,2.0,15.0,0.0,44,True,False,False,234.0,0.0
84,2010,3,867,,1.95,76.0,60.0,2.0,50.0,2.0,34,False,False,False,58.0,0.0
85,2010,4,1389,45.0,1.75,65.0,1716.0,231.0,540.0,133.0,30,True,False,False,1456.0,5.0
86,2010,4,1468,39.0,1.73,62.0,399.0,46.0,59.0,0.0,45,False,True,False,32.0,4.0
87,2010,4,1521,40.0,1.73,64.0,867.0,152.0,569.0,116.0,36,False,True,False,188.0,0.0
88,2010,4,344,36.0,1.76,66.0,127.0,0.0,43.0,0.0,36,False,False,False,10.0,0.0
89,2010,4,374,36.0,1.71,62.0,77.0,2.0,32.0,2.0,47,False,False,False,89.0,5.0
90,2010,4,961,37.0,1.75,61.0,423.0,107.0,354.0,107.0,30,False,True,False,139.0,8.0
91,2010,4,1607,42.0,1.82,71.0,536.0,33.0,241.0,25.0,43,False,True,False,427.0,22.0
92,2010,4,377,45.0,1.81,70.0,110.0,5.0,70.0,5.0,35,True,True,False,299.0,0.0
93,2010,4,776,40.0,1.71,58.0,50.0,5.0,30.0,5.0,29,True,True,False,192.0,0.0
94,2010,4,519,35.0,1.79,63.0,177.0,4.0,158.0,4.0,48,False,False,False,253.0,0.0
95,2010,4,352,45.0,1.81,71.0,67.0,0.0,10.0,0.0,35,True,True,False,119.0,0.0
96,2010,4,1370,46.0,1.81,70.0,91.0,0.0,40.0,0.0,39,True,False,False,105.0,0.0
97,2010,4,1351,42.0,1.73,65.0,262.0,41.0,155.0,37.0,40,True,False,False,186.0,0.0
98,2010,4,1392,44.0,1.72,63.0,80.0,7.0,45.0,3.0,36,False,False,False,191.0,0.0
99,2010,4,650,43.0,1.76,69.0,136.0,4.0,95.0,4.0,44,False,True,False,106.0,0.0
100,2010,4,1009,43.0,1.87,71.0,155.0,10.0,129.0,10.0,45,True,True,False,199.0,32.0
101,2010,4,460,43.0,1.77,65.0,154.0,9.0,129.0,9.0,46,True,False,False,23.0,0.0
102,2010,4,307,41.0,1.75,66.0,65.0,0.0,25.0,0.0,41,True,False,False,40.0,0.0
103,2010,4,602,41.0,1.85,68.0,25.0,0.0,10.0,0.0,37,False,False,False,10.0,0.0
104,2010,4,355,41.0,1.81,64.0,23.0,30.0,23.0,30.0,27,False,False,False,118.0,0.0
105,2010,4,1368,35.0,1.77,59.0,15.0,0.0,10.0,0.0,34,False,False,False,1.0,0.0
106,2010,4,225,36.0,1.87,72.0,26.0,0.0,16.0,0.0,41,False,False,False,37.0,13.0
107,2010,4,1480,39.0,1.72,70.0,20.0,0.0,10.0,0.0,33,False,False,False,0.0,0.0
108,2010,4,1391,37.0,1.86,71.0,5.0,0.0,5.0,0.0,24,False,False,False,20.0,0.0
109,2010,5,1330,33.0,1.75,68.0,260.0,1.0,235.0,1.0,29,True,False,False,5.0,0.0
110,2010,5,873,37.0,1.83,65.0,148.0,4.0,79.0,4.0,45,True,False,True,153.0,25.0
111,2010,5,165,33.0,1.9,80.0,136.0,0.0,97.0,0.0,50,False,False,True,170.0,0.0
112,2010,5,726,36.0,1.79,64.0,268.0,10.0,173.0,0.0,36,True,False,False,37.0,0.0
113,2010,5,188,40.0,1.79,70.0,325.0,53.0,201.0,47.0,38,True,True,False,200.0,13.0
114,2010,5,1564,44.0,1.78,62.0,185.0,0.0,129.0,0.0,55,False,True,True,70.0,0.0
115,2010,5,534,39.0,1.83,68.0,144.0,0.0,119.0,0.0,51,True,False,True,135.0,0.0
116,2010,5,73,46.0,1.83,70.0,304.0,6.0,224.0,0.0,47,True,False,False,37.0,3.0
117,2010,5,1676,40.0,1.7,62.0,64.0,0.0,16.0,0.0,41,False,True,True,295.0,40.0
118,2010,5,317,41.0,1.8,66.0,105.0,0.0,50.0,0.0,47,True,True,False,40.0,0.0
119,2010,5,1087,34.0,1.7,61.0,0.0,0.0,0.0,0.0,7,False,False,False,25.0,0.0
120,2010,5,1342,37.0,1.85,70.0,184.0,11.0,131.0,11.0,34,True,True,False,55.0,0.0
121,2010,5,338,42.0,1.72,62.0,136.0,4.0,136.0,4.0,44,True,False,True,4.0,3.0
122,2010,5,220,38.0,1.83,72.0,207.0,10.0,23.0,0.0,33,False,True,False,26.0,0.0
123,2010,5,1411,41.0,,,163.0,0.0,127.0,0.0,41,False,False,False,2.0,0.0
124,2010,5,1188,39.0,1.88,74.0,48.0,4.0,42.0,4.0,23,False,True,False,120.0,0.0
125,2010,5,193,39.0,1.75,63.0,81.0,0.0,29.0,0.0,30,False,False,True,64.0,0.0
126,2010,5,247,38.0,1.95,78.0,59.0,0.0,38.0,0.0,49,False,False,True,40.0,0.0
127,2010,5,297,36.0,1.78,63.0,160.0,0.0,4.0,0.0,37,False,True,False,0.0,0.0
128,2010,5,643,37.0,1.71,59.0,48.0,0.0,38.0,0.0,51,False,False,True,15.0,0.0
129,2010,5,1668,41.0,1.64,60.0,59.0,0.0,30.0,0.0,49,False,True,False,5.0,0.0
130,2010,5,705,36.0,1.7,55.0,37.0,0.0,16.0,0.0,44,False,False,False,29.0,0.0
131,2010,5,1510,36.0,,,29.0,0.0,24.0,0.0,38,False,False,False,7.0,0.0
132,2010,5,100,34.0,,,5.0,0.0,5.0,0.0,33,False,False,False,0.0,0.0
133,2010,5,1002,35.0,1.71,60.0,7.0,0.0,7.0,0.0,2,False,False,False,0.0,0.0
134,2010,5,835,36.0,,,0.0,0.0,0.0,0.0,27,False,False,False,0.0,0.0
135,2010,5,757,35.0,,,0.0,0.0,0.0,0.0,8,False,False,False,0.0,0.0
