season,team,name,age,height,weight,pcs points,uci points,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points
2010,Astana,HERNÁNDEZ BLÁZQUEZ Jesús,42,1.69,58,43.0,0.0,18.0,0.0,31,True,False,False,142.0,0.0
2010,Astana,SELVAGGI Mirko,38,1.95,73,38.0,0.0,15.0,0.0,26,False,False,False,13.0,0.0
2010,Astana,GOUROV Maxim,44,1.89,75,77.0,0.0,25.0,0.0,43,False,False,False,10.0,0.0
2010,Astana,DAVIS Scott,44,1.7,60,10.0,0.0,0.0,0.0,20,False,False,False,5.0,0.0
2010,Astana,NEPOMNYACHSHIY Yevgeniy,36,1.74,62,5.0,0.0,5.0,0.0,12,False,False,False,48.0,0.0
2010,Astana,RENEV Sergey,38,1.84,68,41.0,0.0,10.0,0.0,32,False,True,False,25.0,0.0
2010,Astana,DMITRIYEV Valeriy,39,1.75,69,11.0,0.0,11.0,0.0,34,False,False,False,5.0,0.0
2010,Astana,KIREYEV Roman,36,1.77,66,40.0,0.0,35.0,0.0,34,False,False,True,33.0,0.0
2010,Astana,RAIMBEKOV Bolat,36,1.81,66,5.0,0.0,5.0,0.0,24,False,False,False,5.0,0.0
2010,Caisse d'Epargne,VALVERDE Alejandro,43,1.77,61,16.0,0.0,16.0,0.0,37,False,False,False,2070.0,0.0
2010,Caisse d'Epargne,COSTA Rui,37,1.83,69,336.0,22.0,311.0,22.0,34,True,False,False,376.0,0.0
2010,Caisse d'Epargne,URÁN Rigoberto,36,1.73,63,427.0,40.0,292.0,39.0,52,False,True,True,265.0,0.0
2010,Caisse d'Epargne,SÁNCHEZ Luis León,39,1.86,73,1718.0,440.0,929.0,329.0,47,True,True,False,1039.0,109.0
2010,Caisse d'Epargne,MOREAU Christophe,52,1.86,71,397.0,4.0,112.0,0.0,29,True,False,False,303.0,0.0
2010,Caisse d'Epargne,ROJAS José Joaquín,38,1.77,70,900.0,70.0,471.0,30.0,47,True,False,False,688.0,60.0
2010,Caisse d'Epargne,KIRYIENKA Vasil,42,1.82,69,212.0,10.0,73.0,0.0,45,True,False,True,223.0,0.0
2010,Caisse d'Epargne,GUTIÉRREZ José Iván,44,1.81,71,249.0,0.0,101.0,0.0,43,True,False,False,113.0,28.0
2010,Caisse d'Epargne,ARROYO David,43,1.74,63,507.0,132.0,410.0,132.0,46,False,True,True,455.0,0.0
2010,Caisse d'Epargne,PLAZA Rubén,43,1.91,77,435.0,6.0,19.0,0.0,25,True,True,False,424.0,50.0
2010,Caisse d'Epargne,LASTRAS Pablo,47,1.83,68,394.0,74.0,114.0,4.0,50,False,False,True,274.0,87.0
2010,Caisse d'Epargne,BRUSEGHIN Marzio,49,1.82,70,133.0,2.0,11.0,0.0,40,False,True,True,288.0,0.0
2010,Caisse d'Epargne,LÓPEZ David,42,1.79,68,216.0,16.0,30.0,0.0,36,False,True,False,191.0,12.0
2010,Caisse d'Epargne,AMADOR Andrey,37,1.8,73,65.0,0.0,35.0,0.0,40,False,False,True,94.0,0.0
2010,Caisse d'Epargne,COBO Juan José,42,1.75,62,3.0,0.0,0.0,0.0,34,False,False,False,446.0,30.0
2010,Caisse d'Epargne,ERVITI Imanol,39,1.89,82,234.0,22.0,89.0,6.0,34,True,True,False,62.0,5.0
2010,Caisse d'Epargne,GARCÍA ACOSTA José Vicente,51,1.86,76,42.0,4.0,19.0,4.0,42,False,True,False,30.0,0.0
2010,Caisse d'Epargne,MADRAZO Ángel,35,1.71,61,20.0,0.0,0.0,0.0,31,False,False,False,15.0,0.0
2010,Caisse d'Epargne,JEANNESSON Arnold,37,1.82,65,31.0,0.0,21.0,0.0,40,False,False,True,37.0,0.0
2010,Caisse d'Epargne,SOLER Juan Mauricio,40,1.9,70,41.0,0.0,35.0,0.0,20,False,False,False,284.0,14.0
2010,Caisse d'Epargne,PASAMONTES Luis,44,1.86,72,81.0,0.0,22.0,0.0,38,False,True,False,138.0,0.0
2010,Caisse d'Epargne,LOSADA Alberto,41,1.8,69,65.0,0.0,45.0,0.0,43,False,False,True,109.0,0.0
2010,Caisse d'Epargne,PÉREZ Francisco,45,1.89,76,24.0,0.0,6.0,0.0,37,False,False,False,79.0,3.0
2010,Caisse d'Epargne,ZANDIO Xabier,46,1.84,73,50.0,0.0,35.0,0.0,47,False,False,True,51.0,0.0
2010,Caisse d'Epargne,DRUJON Mathieu,40,1.85,75,67.0,21.0,56.0,21.0,35,False,False,False,82.0,10.0
2010,Caisse d'Epargne,PERGET Mathieu,39,1.76,64,101.0,2.0,15.0,0.0,44,True,False,False,234.0,0.0
2010,Caisse d'Epargne,COYOT Arnaud,,1.95,76,60.0,2.0,50.0,2.0,34,False,False,False,58.0,0.0
2010,Euskaltel - Euskadi,SÁNCHEZ Samuel,45,1.75,65,1716.0,231.0,540.0,133.0,30,True,False,False,1456.0,5.0
2010,Euskaltel - Euskadi,NIEVE Mikel,39,1.73,62,399.0,46.0,59.0,0.0,45,False,True,False,32.0,4.0
2010,Euskaltel - Euskadi,ANTÓN Igor,40,1.73,64,867.0,152.0,569.0,116.0,36,False,True,False,188.0,0.0
2010,Euskaltel - Euskadi,IZAGIRRE Gorka,36,1.76,66,127.0,0.0,43.0,0.0,36,False,False,False,10.0,0.0
2010,Euskaltel - Euskadi,CASTROVIEJO Jonathan,36,1.71,62,77.0,2.0,32.0,2.0,47,False,False,False,89.0,5.0
2010,Euskaltel - Euskadi,INTXAUSTI Beñat,37,1.75,61,423.0,107.0,354.0,107.0,30,False,True,False,139.0,8.0
2010,Euskaltel - Euskadi,FERNÁNDEZ Koldo,42,1.82,71,536.0,33.0,241.0,25.0,43,False,True,False,427.0,22.0
2010,Euskaltel - Euskadi,MARTÍNEZ Egoi,45,1.81,70,110.0,5.0,70.0,5.0,35,True,True,False,299.0,0.0
2010,Euskaltel - Euskadi,TXURRUKA Amets,40,1.71,58,50.0,5.0,30.0,5.0,29,True,True,False,192.0,0.0
2010,Euskaltel - Euskadi,SICARD Romain,35,1.79,63,177.0,4.0,158.0,4.0,48,False,False,False,253.0,0.0
2010,Euskaltel - Euskadi,VERDUGO Gorka,45,1.81,71,67.0,0.0,10.0,0.0,35,True,True,False,119.0,0.0
2010,Euskaltel - Euskadi,ISASI Iñaki,46,1.81,70,91.0,0.0,40.0,0.0,39,True,False,False,105.0,0.0
2010,Euskaltel - Euskadi,PÉREZ Rubén,42,1.73,65,262.0,41.0,155.0,37.0,40,True,False,False,186.0,0.0
2010,Euskaltel - Euskadi,GALDÓS Aitor,44,1.72,63,80.0,7.0,45.0,3.0,36,False,False,False,191.0,0.0
2010,Euskaltel - Euskadi,URTASUN Pablo,43,1.76,69,136.0,4.0,95.0,4.0,44,False,True,False,106.0,0.0
2010,Euskaltel - Euskadi,OROZ Juan José,43,1.87,71,155.0,10.0,129.0,10.0,45,True,True,False,199.0,32.0
2010,Euskaltel - Euskadi,VELASCO Iván,43,1.77,65,154.0,9.0,129.0,9.0,46,True,False,False,23.0,0.0
2010,Euskaltel - Euskadi,PÉREZ Alan,41,1.75,66,65.0,0.0,25.0,0.0,41,True,False,False,40.0,0.0
2010,Euskaltel - Euskadi,AZANZA Jorge,41,1.85,68,25.0,0.0,10.0,0.0,37,False,False,False,10.0,0.0
2010,Euskaltel - Euskadi,HERNÁNDEZ Aitor,41,1.81,64,23.0,30.0,23.0,30.0,27,False,False,False,118.0,0.0
2010,Euskaltel - Euskadi,MÍNGUEZ Miguel,35,1.77,59,15.0,0.0,10.0,0.0,34,False,False,False,1.0,0.0
2010,Euskaltel - Euskadi,ARAMENDIA Javier,36,1.87,72,26.0,0.0,16.0,0.0,41,False,False,False,37.0,13.0
2010,Euskaltel - Euskadi,SESMA Daniel,39,1.72,70,20.0,0.0,10.0,0.0,33,False,False,False,0.0,0.0
2010,Euskaltel - Euskadi,DE LIS Sergio,37,1.86,71,5.0,0.0,5.0,0.0,24,False,False,False,20.0,0.0
2010,Footon-Servetto,FELLINE Fabio,33,1.75,68,260.0,1.0,235.0,1.0,29,True,False,False,5.0,0.0
2010,Footon-Servetto,CAPECCHI Eros,37,1.83,65,148.0,4.0,79.0,4.0,45,True,False,True,153.0,25.0
2010,Footon-Servetto,BRÄNDLE Matthias,33,1.9,80,136.0,0.0,97.0,0.0,50,False,False,True,170.0,0.0
2010,Footon-Servetto,VALLS Rafael,36,1.79,64,268.0,10.0,173.0,0.0,36,True,False,False,37.0,0.0
2010,Footon-Servetto,CARDOSO Manuel Antonio Leal,40,1.79,70,325.0,53.0,201.0,47.0,38,True,True,False,200.0,13.0
2010,Footon-Servetto,CHEULA Giampaolo,44,1.78,62,185.0,0.0,129.0,0.0,55,False,True,True,70.0,0.0
2010,Footon-Servetto,EIBEGGER Markus,39,1.83,68,144.0,0.0,119.0,0.0,51,True,False,True,135.0,0.0
2010,Footon-Servetto,PÉREZ Aitor,46,1.83,70,304.0,6.0,224.0,0.0,47,True,False,False,37.0,3.0
2010,Footon-Servetto,PEDERSEN Martin,40,1.7,62,64.0,0.0,16.0,0.0,41,False,True,True,295.0,40.0
2010,Footon-Servetto,BENÍTEZ José Alberto,41,1.8,66,105.0,0.0,50.0,0.0,47,True,True,False,40.0,0.0
2010,Footon-Servetto,DIAZ Daniel,34,1.7,61,0.0,0.0,0.0,0.0,7,False,False,False,25.0,0.0
2010,Footon-Servetto,DURÁN Arkaitz,37,1.85,70,184.0,11.0,131.0,11.0,34,True,True,False,55.0,0.0
2010,Footon-Servetto,MAYOZ Iban,42,1.72,62,136.0,4.0,136.0,4.0,44,True,False,True,4.0,3.0
2010,Footon-Servetto,MATA Enrique,38,1.83,72,207.0,10.0,23.0,0.0,33,False,True,False,26.0,0.0
2010,Footon-Servetto,CELIS Félix Vidal,41,,,163.0,0.0,127.0,0.0,41,False,False,False,2.0,0.0
2010,Footon-Servetto,VITORIA David,39,1.88,74,48.0,4.0,42.0,4.0,23,False,True,False,120.0,0.0
2010,Footon-Servetto,MERLO Michele,39,1.75,63,81.0,0.0,29.0,0.0,30,False,False,True,64.0,0.0
2010,Footon-Servetto,CAPELLI Ermano,38,1.95,78,59.0,0.0,38.0,0.0,49,False,False,True,40.0,0.0
2010,Footon-Servetto,WALKER Johnnie,36,1.78,63,160.0,0.0,4.0,0.0,37,False,True,False,0.0,0.0
2010,Footon-Servetto,CORTI Marco,37,1.71,59,48.0,0.0,38.0,0.0,51,False,False,True,15.0,0.0
2010,Footon-Servetto,GUTIÉRREZ GUTIÉRREZ David,41,1.64,60,59.0,0.0,30.0,0.0,49,False,True,False,5.0,0.0
2010,Footon-Servetto,MERINO Pedro,36,1.7,55,37.0,0.0,16.0,0.0,44,False,False,False,29.0,0.0
2010,Footon-Servetto,GUTIÉRREZ PALACIOS David,36,,,29.0,0.0,24.0,0.0,38,False,False,False,7.0,0.0
2010,Footon-Servetto,GIANETTI Noe,34,,,5.0,0.0,5.0,0.0,33,False,False,False,0.0,0.0
2010,Footon-Servetto,MARGALIOT Ran,35,1.71,60,7.0,0.0,7.0,0.0,2,False,False,False,0.0,0.0
2010,Footon-Servetto,FAIERS Thomas Patrick,36,,,0.0,0.0,0.0,0.0,27,False,False,False,0.0,0.0
