,season,age,height,weight,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points,team__AG2R Prevoyance,team__Accent.jobs – Willems Veranda’s,team__Argos - Shimano,team__Astana Pro Team,team__BKCP - Powerplus,team__BMC Racing Team,team__Bahrain Merida Pro Cycling Team,team__Bonjour - Toupargel,"team__Cofidis, le Crédit par Téléphone",team__Cycling Academy Team,team__EF Education First,team__Euskadi - Petronor,team__FDJ,team__Fondas P3 Transfer Team,team__Fortuneo - Oscaro,team__Geox-TMC Transformers,team__HTC - High Road,team__IAM Cycling,team__Lampre - Daikin,team__Liquigas-Pata,team__Lotto - Super Club,team__Movistar Team,team__Quick-Step Floors,team__RadioShack,team__Sky Procycling,team__Superconfex - Yoko - Opel,team__Team Dimension Data,team__Team Home - Jack & Jones,team__Team Jayco AlUla,team__Team Katusha ,team__Team Milram,team__Team NetApp - Endura,team__Trek Factory Racing 
16,2010,0.625,0.2325581395348837,0.3255813953488371,0.05257270693512304,0.0011584599433513087,0.5972222222222222,False,False,True,0.0544975095224143,0.005382331106161841,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,2010,0.71875,0.39534883720930214,0.44186046511627897,0.025727069351230425,0.0,0.5972222222222222,True,False,False,0.1778493993554058,0.0014847809948032665,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,2010,0.53125,0.39534883720930214,0.4186046511627908,0.043064876957494405,0.0,0.75,False,True,False,0.025490770583064752,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,2010,0.46875,0.720930232558139,0.5813953488372092,0.006711409395973154,0.0,0.6666666666666666,False,False,False,0.014942865514210372,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,2010,0.5625,0.4883720930232558,0.4186046511627908,0.06096196868008948,0.0,0.6944444444444444,False,False,False,0.03047172575446821,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,2010,0.46875,0.5348837209302326,0.5581395348837208,0.029082774049217,0.001448074929189136,0.625,False,False,False,0.07559331966012306,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,2010,0.5,0.558139534883721,0.5581395348837208,0.011185682326621923,0.0,0.5,False,False,False,0.005859947260474656,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,2010,0.59375,0.5813953488372094,0.4186046511627908,0.032997762863534674,0.0008688449575134815,0.6944444444444444,False,False,True,0.011133899794901847,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,2010,0.5,0.5813953488372094,0.4651162790697674,0.019574944071588368,0.0,0.6527777777777778,False,True,True,0.011426897157925579,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,2010,0.5,0.6046511627906979,0.5116279069767442,0.02069351230425056,0.0,0.6666666666666666,False,False,False,0.011133899794901847,0.0011135857461024498,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,2010,0.5625,0.7674418604651159,0.7674418604651163,0.008948545861297539,0.0,0.18055555555555555,False,False,False,0.004687957808379725,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,2010,0.625,0.4883720930232558,0.5116279069767442,0.03803131991051454,0.0011584599433513087,0.6666666666666666,True,False,False,0.062408438324055085,0.0007423904974016332,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
